id,text,created_at,retweet_count,favorite_count,source,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location
970493481381715969,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-05 02:57:31,72,0,Twitter for iPhone,395878280,AvnishRajvanshi,Avnish Rajvanshi,2011-10-22 11:56:52,Film Maker,55,42,"New Delhi, India"
970482610400124928,"RT @hvgoenka: During the year with such important matters engaging the mind of an Indian:

Gurmeet Ram Rahim
Jallikattu
Sunny Leone 
Triple…",2018-03-05 02:14:19,296,0,Twitter for Android,874249869082243073,babin_sood,babin sood,2017-06-12 12:59:46,,90,165,
970455286141112320,#Sridevi its a murder case #DubaiPolice should reopen #Sridevi case.,2018-03-05 00:25:45,0,1,Twitter for Android,967705696711139328,MuneebR11445343,Muneeb Rehman,2018-02-25 10:19:51,,1,98,
970400314577874946,"@ArnobGoswami Are you aware of Ankit Saxena murder case???., I saw you talking about Sridevi murder mistry n all th… https://t.co/nnauX8pEJB",2018-03-04 20:47:18,0,0,Twitter for Android,202136040,Gaurav_Firodiya,GauravFirodiya,2010-10-13 11:30:53,"a management student,humanitarian...",13,23,Pune
970396649574092800,@DeccanChronicle Why did Boney Kapoor move his time from waking Sridevi at 5.30pm to the latest time being he now s… https://t.co/aUeUDhZVNZ,2018-03-04 20:32:45,0,0,Twitter Lite,710497327279120384,Parii56,Pari,2016-03-17 16:05:38,,5,3,
970371342485815303,"RT @mainbhiengineer: Too much confusion, whether it's a natural death or murder. Someone should find out Sridevi's opinion about Modi so th…",2018-03-04 18:52:11,32,0,Twitter for iPhone,137260162,WhoSagarBhatia,Sagar Bhatia,2010-04-26 07:56:45,I'm just another patient guy in an impatient world.. A Traveler !,143,533,India
970357731805794310,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 17:58:06,72,0,Twitter Lite,730367952604794881,14_chahar,Yogified Modi fan,2016-05-11 12:04:24,"a doctor, a thinker on current scenario of world, a true nationalist and against pseudo secular,a voice against injustice , a motivator and a career guide .",295,186,"Jaipur, Mumbai "
970355339324461056,Sridevi death or planned murder: https://t.co/4e7HPVvDwR via @YouTube,2018-03-04 17:48:35,0,1,Google,947060463342272512,rohan_chaware,ROHAN DEVENDRA CHAWARE,2017-12-30 11:03:04,,2,138,
970338049312854016,RT @KatysGurll: Death of Indian actress Sridevi - an accident or murder: conspiracy thread: https://t.co/LzgZgAF1WP,2018-03-04 16:39:53,23,0,Twitter for Android,2382604490,ohwelllohwelll,.,2014-03-10 19:51:59,"20. Madihah.
The quiet one who finds a voice.
Instagram: madihah.hk",768,719,Scotland
970327304348954630,@filmfare @deepikapadukone It was plotted murder of #Sridevi .1) Her room was unlocked by duplicate key 2nd The was… https://t.co/DnwXBFqWhY,2018-03-04 15:57:11,0,0,Twitter for Android,694833650966274049,RKhanchandan,Ram  Khanchandani,2016-02-03 10:43:46,,6,5,
970326314195578880,"I added a video to a @YouTube playlist https://t.co/RDQWz8tz29 Swami Om ji, Dawood Ibrahim के खिलाफ Sridevi Murder",2018-03-04 15:53:15,0,0,Google,1952375935,dailyvijaynews,VIJAY NEWS,2013-10-10 18:29:05,National Hindi Dainik Newspaper,16,11,New Delhi
970325131619835906,RT @pramodnaikp: @DBbollywood Will anyone take note of Sridevi's maternal uncle's claim that this was not accidental death. Murder.,2018-03-04 15:48:33,1,0,Twitter for Android,2323843662,dk_mahto,Deepak Kumar Mahto,2014-02-02 14:18:15,A Mariner / Seaman / Seafarer.. Specialization in Global Maritime Distress & Safety System / News Addict / A Modi Bhakt /Jai Hind,163,463,"Godda, India"
970310288540127233,I cannot believe that Sridevi 's death was an accidental death. It was a murder for sure. Police did not investigate the case properly,2018-03-04 14:49:34,0,0,Twitter for Android,1577478379,Unnirn,Adv.r.n.unni,2013-07-08 11:32:23,"I am an advocate from Thrissur in Kerala. I would like to have friends from all 
parts of India",47,91,THRISSUR
970300700117929984,@DBbollywood Will anyone take note of Sridevi's maternal uncle's claim that this was not accidental death. Murder.,2018-03-04 14:11:28,1,1,Twitter Web Client,1008588062,pramodnaikp,Pramod Naik,2012-12-13 11:24:50,Male.,59,218,"Mumbai, Maharashtra"
970297145541693441,"@Swamy39 Because Boni Kapoor is main culprit Sridevi murder, Boni Kapoor is not innocent",2018-03-04 13:57:21,0,0,Twitter for iPhone,712899339799015428,JSChauhanBJP,Jitendra S Chauhan,2016-03-24 07:10:22,"BJP Member -साथ है विश्वास है, हो रहा विकास है ।",559,5000,"New Delhi, India"
970274424204095489,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 12:27:04,72,0,Twitter for Android,2404805857,royala11,Indian Male ? Lets kill him,2014-03-22 17:13:46,Call PM  @ 1800-11-7800 to rqst fr restoration f human rights fr men in India,342,676,1800-11-7800
970255087485509632,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 11:10:13,72,0,Twitter for iPhone,132926353,AnandJalaj,Jalaj Anand,2010-04-14 15:01:04,"chartered accountant, cost accountant by profession and a trustworthy supporter of Modi ji for a better and brighter 🇮🇳 India",48,117,"Dubai, United Arab Emirates"
970245378321743872,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 10:31:39,72,0,Twitter for Android,881388765415186432,_Sachin_01,$@ch!n @ry@ 🕉NAMO2019✌🕉,2017-07-02 05:47:11,Professor | Nationalist | support @narendramodi | support @IndianSoldiers,145,182,"New Delhi, India"
970233853146206208,"RT @mainbhiengineer: Too much confusion, whether it's a natural death or murder. Someone should find out Sridevi's opinion about Modi so th…",2018-03-04 09:45:51,32,0,Twitter for Android,3134997304,I_Run_E,Wanderer,2015-04-04 19:56:09,Skeptically curious,145,837,
970221798406094849,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 08:57:57,72,0,Twitter for Android,2401464583,KaveriThiyagara,Kaveri Thiyagarajan,2014-03-21 11:59:55,"Kind Words Do Not Cost Much, Yet They Accomplish Much.
Tweets are personal, ReTweets are not endorsements.",421,202,Bengaluru
970219974626291712,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 08:50:42,72,0,Twitter for Android,2887715029,voidwalker67,B,2014-11-02 17:35:37,Ex-aviator | Ex-Mil-spec std. designer | Adventurer | Foodie | Swifting through data for a living,68,46,"चेन्नई, भारत"
970207030668541953,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 07:59:16,72,0,Twitter for Android,82052733,Kavitha_Kamal,Damsel-in-this-tress,2009-10-13 09:22:00,#TISS #HR #bookworm #travelbuff #foodie #shopaholic #loveDogs #MumbaikarAtHeart,221,135,Bangalore
970206048912101376,@Swamy39 @modified_hindu @postcard_news But sir what is the motive behind sridevi's murder ? It's very disturbing.,2018-03-04 07:55:22,0,0,Twitter Lite,341431356,TheRroma,Agent Romanoff,2011-07-24 10:37:30,"child,a journalist by degree,a guitarist by interest,a poet by passion,a salsa dancer by chance,fun loving,honest & frank,sweet,kind,talkative",90,227,"Mumbai, India"
970199250494668801,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 07:28:21,72,0,Twitter for Android,727181048702980098,hiarvindgsm,arvind kumar sharma,2016-05-02 17:00:47,,85,20,
970197355923357696,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 07:20:49,72,0,Twitter for Android,830031694136692737,KarliDevanna,Karlideo,2017-02-10 12:32:31,Kdeo,152,113,Ramanagara Bangaluru
970189955841409024,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 06:51:25,72,0,Twitter for Android,132841064,knowingk2,Kiran Narayanan,2010-04-14 09:35:45,"Entrepreneur. Yathechasi thatha kuru😃

Tweets are purely personal observations.",145,219,Gods own backyard
970184988627890178,@PMOIndia @narendramodi Investigate boney kapoor and his family for murder of sridevi,2018-03-04 06:31:41,0,1,Twitter Lite,923969838640283648,klaibyam7,Kalyan,2017-10-27 17:49:10,"--Ramanuja Sampradayam-- BITS Pilani Rajasthan( Btech) Works as Java Developer.

-Sucker for 70/80's italian movies mainly frm  Argento, Soavi,Fulci,Sergio,Pupi",9,152,Hyderabad
970179042610589696,"@ShafaRameez 13 Hours
A Wednesday (Hindhi)
Badlapur (H)
Bronson
Child 44
Daddy (H)
Gangs of Wasseypur (H)
Gone Girl… https://t.co/Fes5PXGYyD",2018-03-04 06:08:03,0,5,Twitter for Android,211442440,4audy,Phaudy,2010-11-03 08:09:57,'އަމިއްލަފުޅަށް ޖިމާޢުވެވަޑައިގަންނަވާ',292,282,"Male', Maldives"
970178531849326592,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 06:06:01,72,0,Twitter for iPhone,218461404,Vaneeshsingh,Dr Vaneesh Singh,2010-11-22 12:17:25,"5 Important Ingredients for revival of Bharat and Its people – Krishi( Agriculture), Istri(Women), Shiksha(Education), Rajniti( Politics) and Sharia",258,273,london
970177288644919296,"RT @khushsundar: those who were looking for a mystery n murder angle to make quick buck with TRPS,will surely be disappointed..dubai prosec…",2018-03-04 06:01:05,39,0,Twitter for Android,909704362712117249,JRJohnAlexandar,J R John Alexandar,2017-09-18 09:03:16,,6,125,
970174532966219776,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:50:08,72,0,Twitter for Android,268737080,rupamduttta,ৰূপম দত্ত,2011-03-19 10:56:22,Longing to become a Pandava. Still being the 5th type of the Kurukshetra. Believe in Bharatiya Rashtra and Mahabharatiya Rashtriyata.,197,377,"Assam, India"
970173691500814337,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:46:47,72,0,Twitter Web Client,1573408592,edhooruhandle,Swamy's Army,2013-07-06 18:41:07,@Swamy39 is my Guruji like Dronacharya was Ekalavya's | likes are ammo | YogiRoxx.,106,709,
970172954175827969,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:43:51,72,0,Twitter for iPhone,78827411,navien15,navien marwah,2009-10-01 06:45:33,"Proud to be Indian and Proud to be a Hindu. Sydenham College, London School of Economics.",72,76,mumbai
970171923102445568,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:39:46,72,0,Twitter for Android,123252102,faujishiva,capt shivA BHAKTH,2010-03-15 13:49:48,ex army officer strong nationalist proud hindu activst. ardent supporter of modhiji & RSS. corporate trainer in behavioural science,275,388,chennai
970169163292467200,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:28:48,72,0,Twitter for Android,4554671668,natarajanm2003,Natarajan Munuswamy,2015-12-21 07:23:45,,32,71,"Kharghar, Panvel"
970163734239948800,"RT @modified_hindu: Subramanian @Swamy39 drops bombshell, Sridevi’s death not natural but murder! https://t.co/010oaKYlRk via @postcard_news",2018-03-04 05:07:13,72,0,Twitter for iPhone,26550841,jadumantar,jadu mantar,2009-03-25 18:01:14,,613,75,
